region,sex,age,cases,fatalities,count,cases_pp,fatalities_pp
Total,Male,61,10,0,6747,0.0014821402104639098,0.0
Total,Male,62,10,0,6727,0.001486546751895347,0.0
Total,Male,65,5,0,6001,0.0008331944675887352,0.0
Total,Male,66,5,0,5848,0.0008549931600547196,0.0
Total,Male,69,2,0,5725,0.00034934497816593884,0.0
Total,Male,70,9,0,5837,0.0015418879561418537,0.0
Total,Male,71,6,0,5707,0.0010513404590853338,0.0
Total,Male,72,4,0,5682,0.0007039774727208729,0.0
Total,Male,73,6,0,5309,0.001130156338293464,0.0
Total,Male,74,8,0,5134,0.0015582391897156214,0.0
Total,Male,75,3,0,4732,0.0006339814032121725,0.0
Total,Male,77,4,0,4133,0.0009678199854827002,0.0
Total,Male,78,2,0,3594,0.0005564830272676684,0.0
Total,Male,79,2,0,3504,0.0005707762557077625,0.0
Total,Male,80,3,0,3265,0.0009188361408882082,0.0
Total,Male,82,3,0,3034,0.000988793671720501,0.0
Total,Male,84,3,0,2604,0.001152073732718894,0.0
Total,Male,91,2,0,1074,0.00186219739292365,0.0
Total,Male,95,1,0,403,0.0024813895781637717,0.0
Total,Male,13,4,0,4724,0.000846740050804403,0.0
Total,Male,15,2,0,4664,0.0004288164665523156,0.0
Total,Male,76,2,0,4615,0.0004333694474539545,0.0
Total,Male,86,1,0,2223,0.000449842555105713,0.0
Total,Male,68,4,0,5852,0.000683526999316473,0.0
Total,Male,63,2,0,6375,0.00031372549019607844,0.0
Total,Male,64,1,0,6115,0.00016353229762878168,0.0
Total,Male,67,1,0,5677,0.00017614937466971993,0.0
Total,Male,6,1,0,5078,0.00019692792437967703,0.0
Total,Male,87,2,0,1974,0.0010131712259371835,0.0
Total,Female,5,1,0,4979,0.0002008435428800964,0.0
Total,Female,12,3,0,4699,0.000638433709299851,0.0
Total,Female,13,4,0,4724,0.000846740050804403,0.0
Total,Female,14,2,0,4726,0.00042319085907744394,0.0
Total,Female,15,3,0,4664,0.0006432246998284735,0.0
Total,Female,16,9,0,4655,0.001933404940923738,0.0
Total,Female,17,8,0,4744,0.0016863406408094434,0.0
Total,Female,18,5,0,5046,0.0009908838684106222,0.0
Total,Female,19,6,0,5119,0.001172103926548154,0.0
Total,Female,20,10,0,5241,0.0019080328181644724,0.0
Total,Female,21,13,0,5415,0.0024007386888273315,0.0
Total,Female,22,10,0,5647,0.0017708517797060386,0.0
Total,Female,23,8,0,5742,0.0013932427725531174,0.0
Total,Female,24,14,0,5881,0.002380547525930964,0.0
Total,Female,25,16,0,6028,0.0026542800265428003,0.0
Total,Female,26,13,0,6433,0.002020830094823566,0.0
Total,Female,27,18,0,6645,0.002708803611738149,0.0
Total,Female,28,17,0,6825,0.002490842490842491,0.0
Total,Female,29,8,0,6804,0.0011757789535567313,0.0
Total,Female,30,8,0,7072,0.0011312217194570137,0.0
Total,Female,31,7,0,6861,0.001020259437399796,0.0
Total,Female,32,6,0,6934,0.0008653014133256418,0.0
Total,Female,33,9,0,6958,0.0012934751365334866,0.0
Total,Female,34,10,0,7047,0.0014190435646374343,0.0
Total,Female,35,6,0,7017,0.0008550662676357417,0.0
Total,Female,36,10,0,7140,0.0014005602240896359,0.0
Total,Female,37,8,0,7121,0.0011234377194214297,0.0
Total,Female,38,12,0,7032,0.0017064846416382253,0.0
Total,Female,39,4,0,6818,0.0005866823115283074,0.0
Total,Female,40,7,0,6710,0.0010432190760059613,0.0
Total,Female,41,9,0,6704,0.0013424821002386634,0.0
Total,Female,42,11,0,6588,0.0016697024893746206,0.0
Total,Female,43,8,0,6533,0.001224552273075157,0.0
Total,Female,44,10,0,6701,0.0014923145799134458,0.0
Total,Female,45,2,0,6762,0.0002957704821058858,0.0
Total,Female,46,10,0,7069,0.0014146272457207527,0.0
Total,Female,47,12,0,7269,0.0016508460586050352,0.0
Total,Female,48,8,0,7496,0.0010672358591248667,0.0
Total,Female,49,12,0,7722,0.001554001554001554,0.0
Total,Female,50,7,0,7904,0.0008856275303643725,0.0
Total,Female,51,8,0,7929,0.0010089544709294992,0.0
Total,Female,52,16,0,7993,0.0020017515325910173,0.0
Total,Female,53,9,0,8031,0.0011206574523720584,0.0
Total,Female,55,8,0,8109,0.000986558145270687,0.0
Total,Female,56,11,0,7768,0.0014160659114315138,0.0
Total,Female,57,7,0,7592,0.0009220231822971549,0.0
Total,Female,58,9,0,7359,0.0012229922543823889,0.0
Total,Female,59,9,0,7121,0.0012638674343491082,0.0
Total,Female,60,3,0,6958,0.00043115837884449555,0.0
Total,Female,61,5,0,6747,0.0007410701052319549,0.0
Total,Female,62,3,0,6727,0.0004459640255686041,0.0
Total,Female,64,7,0,6115,0.0011447260834014717,0.0
Total,Female,65,2,0,6001,0.0003332777870354941,0.0
Total,Female,66,7,0,5848,0.0011969904240766074,0.0
Total,Female,67,4,0,5677,0.0007045974986788797,0.0
Total,Female,68,2,0,5852,0.0003417634996582365,0.0
Total,Female,69,6,0,5725,0.0010480349344978166,0.0
Total,Female,70,6,0,5837,0.001027925304094569,0.0
Total,Female,71,3,0,5707,0.0005256702295426669,0.0
Total,Female,72,4,0,5682,0.0007039774727208729,0.0
Total,Female,73,4,0,5309,0.0007534375588623093,0.0
Total,Female,74,7,0,5134,0.0013634592910011687,0.0
Total,Female,75,2,0,4732,0.00042265426880811494,0.0
Total,Female,76,1,0,4615,0.00021668472372697725,0.0
Total,Female,78,3,0,3594,0.0008347245409015025,0.0
Total,Female,79,5,0,3504,0.0014269406392694063,0.0
Total,Female,81,3,0,3132,0.0009578544061302681,0.0
Total,Female,82,1,0,3034,0.0003295978905735003,0.0
Total,Female,83,5,0,2773,0.0018031013342949874,0.0
Total,Female,85,3,0,2412,0.0012437810945273632,0.0
Total,Female,87,1,0,1974,0.0005065856129685917,0.0
Total,Female,88,1,0,1741,0.0005743825387708214,0.0
Total,Female,90,1,0,1288,0.0007763975155279503,0.0
Total,Female,91,1,0,1074,0.000931098696461825,0.0
Total,Female,93,1,0,697,0.0014347202295552368,0.0
Total,Female,94,1,0,529,0.001890359168241966,0.0
Total,Female,95,1,0,403,0.0024813895781637717,0.0
Total,Female,100,1,0,175,0.005714285714285714,0.0
Total,Female,63,3,0,6375,0.00047058823529411766,0.0
Total,Female,77,2,0,4133,0.0004839099927413501,0.0
Total,Female,92,1,0,882,0.0011337868480725624,0.0
Total,Female,54,1,0,8145,0.00012277470841006753,0.0
Total,Female,80,2,0,3265,0.0006125574272588055,0.0
Total,Female,6,1,0,5078,0.00019692792437967703,0.0
Total,Female,9,1,0,4916,0.0002034174125305126,0.0
Total,Female,11,2,0,4819,0.0004150238638721727,0.0
